wavelength,absorption
200,40.21040086050727
201,37.223459733514005
202,35.24947459349587
203,33.0679177958446
204,30.842932700993725
205,29.74192035778986
206,28.514644565217385
207,27.11553034420291
208,25.754121490036265
209,24.64901732158987
210,23.86869669384058
211,22.715214945652153
212,21.779360439311624
213,20.923349524456505
214,20.172110507246344
215,18.809397871376884
216,18.03463863224637
217,17.12142445504084
218,16.30274716938406
219,14.982259582198004
220,14.496454178019954
221,13.4270024750227
222,12.7862518165304
223,12.413504677565848
224,11.40063440054494
225,10.598872456857425
226,10.042157243415057
227,9.579047161671244
228,9.219059604904627
229,8.50295420072661
230,8.144502868852456
231,7.664081967213113
232,7.54232499999998
233,7.296389282470461
234,7.282136338797822
235,7.211137659380694
236,6.899771220400747
237,6.911831557377053
238,6.90342652968037
239,6.818862090163956
240,6.74810547945206
241,6.498057126593812
242,6.493986780821917
243,6.449188698630133
244,6.334196438356165
245,6.240393881278532
246,6.052683607305926
247,5.95707235883425
248,6.1005313242009125
249,5.894050022831064
250,5.903566986301374
251,5.933905593607323
252,5.811384294871804
253,5.738308333333335
254,5.7979865296803625
255,5.717007692307681
256,5.620792237442925
257,5.54896808219177
258,5.47774455128204
259,5.3803099358974364
260,5.302172435897433
261,5.440626602564102
262,5.306495833333332
263,5.146108333333347
264,5.140723186409564
265,5.073578787878785
266,4.98435000000001
267,5.0459808539944975
268,4.96526378205125
269,4.810359615384638
270,4.984123415977975
271,4.838044696969694
272,4.754616460055121
273,4.723211914600556
274,4.59257112029383
275,4.518289325068847
276,4.452360635359124
277,4.401995764272551
278,4.489316781450859
279,4.426507690541772
280,4.26308774104682
281,4.261292219152871
282,4.264208080110471
283,4.00618089318599
284,4.236905018416221
285,4.040641068139957
286,3.9654648710865774
287,4.047793628808856
288,3.843862234533686
289,3.865393051708217
290,3.8336679558011
291,3.838120683287147
292,3.7866593721144937
293,3.8644892890120217
294,3.538922068328675
295,3.615901385041579
296,3.646788804247473
297,3.344134626038779
298,3.420263342566887
299,3.2445080794090786
300,3.289802539242838
301,3.267381249999994
302,3.4615369444444433
303,3.1447145138888772
304,3.1679044444444324
305,3.122553277931668
306,3.079942638888889
307,2.9368581018518505
308,2.993420208333361
309,3.1077705555555553
310,2.8766709027777857
311,2.850951485608168
312,2.893130385329614
313,2.7034661111111102
314,2.756776296296288
315,2.589859285051049
316,2.5561268570102156
317,2.504271935933147
318,2.4810708681522993
319,2.546076624883912
320,2.279692014856097
321,2.4000275069637995
322,2.398958333333343
323,2.263814786443819
324,2.302571135940411
325,2.38448417132214
326,2.250356936685303
327,2.002902374301678
328,2.263490898510221
329,2.130650256052151
330,2.277643412476713
331,2.178066013071897
332,2.072700000000004
333,2.0901762104283255
334,2.031743482309119
335,2.235963562091501
336,2.128452327746747
337,2.0746352941176394
338,2.1445209150326807
339,2.19930049019608
340,1.900296648044676
341,2.0826452614378956
342,2.0568950980392224
343,1.991793954248358
344,1.8751767790262128
345,1.9868765917602849
346,1.9601841503268016
347,1.9261209503744936
348,1.8443407303370665
349,1.843478183520623
350,1.8153596405228685
351,1.8416452715355869
352,1.882729530516436
353,1.670537546816416
354,2.071999180711629
355,1.7760671126760663
356,1.7255200469484002
357,1.685785187793417
358,1.6969530430711257
359,2.0084754929576945
360,1.7113019953051365
361,1.6656204225351918
362,1.6475099765258232
363,1.7656333333332963
364,1.6148030516431915
365,1.9373824858756885
366,1.813124576271166
367,1.5571272598869634
368,1.5478567090394773
369,1.6286894067796245
370,1.8362196327682565
371,1.6071123352165202
372,1.6696749999999885
373,1.6041305790960323
374,1.6608923728813298
375,1.499877542372854
376,1.6091182438794391
377,1.646351416430615
378,1.6120999999999075
379,1.394323375706184
380,1.4431157485875503
381,1.4393749999999836
382,1.4367653682719448
383,1.5264714589234996
384,1.6308567280453214
385,1.3414050755429978
386,1.4221405571292889
387,1.474705113636343
388,1.425348229461755
389,1.30068394711993
390,1.5684974032105583
391,1.3211717803029943
392,1.4411742187499588
393,1.4106965435605805
394,1.3653889441286642
395,1.306778030302998
396,1.3203976020892922
397,1.3060721984804933
398,1.3626083333333217
399,1.3788474358973983
400,1.0880198717948617
401,1.1131166666666668
402,1.2713522317189132
403,1.364412678062677
404,1.3386597578347217
405,1.1934920227920185
406,1.2810847578347513
407,1.2531994301994296
408,1.0502926638176415
409,1.201069333333338
410,1.1967923333333157
411,1.199753333333306
412,1.2559879629629156
413,1.2963696666666744
414,1.2746786055395989
415,1.294614999999983
416,1.1852091451767228
417,1.0973893982807716
418,1.0229323304680509
419,1.2889211318051093
420,1.3968123925501628
421,1.079297540592187
422,0.91190661413564
423,1.2079202005730767
424,1.1536996179560337
425,1.0415740926456358
426,1.1067927650430134
427,1.0821570439350658
428,1.1880136580706795
429,1.2011563753581185
430,0.9899701388888648
431,0.9301340517241372
432,1.173669683908056
433,1.220711326628254
434,0.8912233909701569
435,0.8822651819923067
436,1.0515158285440669
437,1.117749137931008
438,1.025706345785416
439,1.1090792267050638
440,1.2097386887608048
441,0.8437164032566947
442,0.7842588856868403
443,1.08109368395773
444,1.0090834534101418
445,0.9877347982708476
446,0.9624676300578064
447,0.9622380883766074
448,1.1096776974951597
449,0.97020235350621
450,1.0535448458574053
451,0.8932445086705179
452,0.8856454961464215
453,0.693118689788038
454,0.7497544444444172
455,1.0002962909440891
456,0.8985693641618387
457,0.734289855072435
458,0.7263990366088529
459,0.8266838150289323
460,0.80855326086955
461,0.7671660144927566
462,0.6744897342995128
463,0.9095181159420104
464,0.7715606280193391
465,0.7796823188405723
466,0.9529635990338396
